,adres,longitude,latitude
0,"г. Миасс, ул. Силовая, 1",60.13998,55.020931
1,"1. Сосновский район,  п. Есаульский,  ул. Заготзерно, дом 10/1;  2. Катав-Ивановский район,  ст. Красная горка",1,1
2,"1. г. Челябинск, в районе трамвайного кольца «Копровый цех ЧМК» в Металлургическом районе (черный лом) 2. г. Златоуст, ул. имени С.М. Кирова,  д. 1 (черный лом) 3.  г. Челябинск, ул. 2-я Павелецкая, д. 14 (черный, цветной лом)",1,1
3,"1. г. Челябинск, ул.Строительная, 21 (черный, цветной лом) 2. г. Челябинск, ул. Хлебозаводская, д. 7а (черный, цветной лом) 3. г. Копейск,  ул. Кемеровская, д. 26 (цветной лом) 4. Красноармейский район, примерно в 1252 м от ориентира по направлению на северо-запад. Ориентир юго-восточная часть п. Петровский; 5.  г. Челябинск, ул. Степана Разина, 1.",61.642152,55.120841
4,"г. Челябинск, ул. Автодорож ная, д. 10",61.363764,55.208209
5,"1) г. Златоуст, ул. Уржумская, 75 2)  г. Куса, ул. Орджоникидзе, д. 39 ",59.409902,55.356222
6,"1. г. Златоуст, п. 6-ой жилой участок 2. г. Златоуст, ул. Лапшина, д. 25 3. г. Сатка, ул. К. Маркса, 275",59.659813,55.17757
7,"г. Челябинск, ул. Монтажников,  д. 5в",61.424796,55.247657
8,"1) г. Челябинск, ул. Кулибина, 3и; 2) г. Челябинск, ул. Героев Танкограда (на пересечении ул. Г. Танкограда и  ул. Турбинная); 3) с. Аргаяш, вдоль трассыавтодороги Долгодеревенское – Кыштым.",1,1
9,"1) г. Челябинск, ул. Автодорожная, д. 5-Б; 2) г. Челябинск, 1-ый Северо-Западный промрайон; 3) г. Челябинск, ул. 2-я Шагольская, 25; 4) г. Челябинск, ул.  г. Танкограда, 15-п; 5) г. Челябинск, ул. Енисейская, 32; 6) г. Челябинск, ул. Туруханская, д. 47-а. ",61.301179,55.229347
10,"г. Кыштым, ул. Парижской Коммуны, д. 2 ",60.57428,55.733792
11,"г. Аша, ул. Мира, д. 9 ",57.272351,54.993861
12,"г. Верхний Уфалей, ул. Гранильная, д. 2 ",60.238256,56.059489
13,"1) Челябинск, ул. Автодорожная, д. 5б 2) г. Челябинск, ул. Автоматики, д. 9, 3) Красноармейский район, слева по ходу движения автодороги Челябинск-Новосибирск, 29 км, из состава полей № 216, 217 ООО СХП «Козыревское». 4)  г. Челябинск, Троицкий тракт, д. 20-б; 5) г. Коркино, ул. 30 лет ВЛКСМ, д. 140А; С 23.03.2021 открытие додолнительных объектов: 6) г. Челябинск, ул. Цинковая, дом 8, стр. 6; 7) Челябинская область, Сосновский район, п. Новый Кременкуль,  ул. Центральная, уч. 7 ",1,1
14, ,1,1
15,"г. Челябинск, уд. Енисейская 40 ",61.482531,55.141037
17,"г. Копейск, ул. Линейная, д. 25б",61.657765,55.123173
18,"пос. Локомотивный, ул. Строителей, 70",60.606269,53.043737
19,"г. Кыштым, ул. Кооперативная, д. 2",60.535491,55.709627
20,"г. Магнитогорск, ул. Шоссейная, д. 2 ",59.071542,53.3943
21," г. Челябинск, ул. Нахимова, д. 20п",61.489124,55.121283
22,"г. Челябинск, ул. Линейная, д. 92 - объект исключен с 14.07.2021 г.                                                                                                                                                                                                                                         454081, Челябинская область,                             г. Челябинск, ул. Валдайская, д. 7Б",1,1
23,"г. Кыштым, ул. Каслинское шоссе, д. 13",60.507086,55.716483
24," Еманжелинский р-н,  пос. Красногорский, ул. Отвальная, д. 57",61.273654,54.614047
25,"г. Златоуст, ул. имени А.С. Тютева, восточнее ОАО «ЗРМЗ»",1,1
26,"1. г. Коркино, ул. Керамиков, 9а  2. Сосновский район, в районе пос. Федоровка ",1,1
27,"г. Магнитогорск, ул. Кирова, д. 93",59.053675,53.415627
28,"г. Кыштым, ул. Парижской Коммуны, д. 2",60.57428,55.733792
29,"г. Челябинск, ул. Строительная, 11",61.413944,55.251408
30,"Челябинская область, Сосновский район, пос. Есаульский, ул. Заготзерно, 10/2",61.201358,55.298604
31,"г. Магнитогорск, ул. Чаадаева, д. 26",59.093506,53.394869
32,"г. Сатка, ул. Торговая, 10",58.986885,55.052505
33," г. Аша, от основной площадки вдоль  ул. Узкоколейная, северо-западнее г. Аша, в направлении  п. Абдулка; ",1,1
34," г. Челябинск, Металлургический район, территория Челябинского электродного завода",61.418714,55.259243
35,"г. Копейск, ул. Куйбышева, д. 37Б",61.665625,55.13408
36,"1. Катав-Ивановский район, г. Юрюзань, ул. Пушкина, д. 91. 2. г. Южноуральск, ул. Победы, д. 4а",1,1
37,"г. Магнитогорск, ул. Шоссейная, 3",59.07112,53.395368
38,"г. Катав-Ивановск, ул. Заводская, д. 1",58.205836,54.753513
39,"п. Бреды, ул. Шахты-3, д. 19 ",60.332049,52.41267
40,"г. Коркино, ул. Пролетарская, д. 39",61.357395,54.907449
41,"1. г. Куса, ул. Герцена, д. 92      ",59.455338,55.351375
42,"г. Челябинск, ул. 2-й Западный проезд, д. 6",61.37025,55.21049
43,"г. Копейск, р.п. Старокамышинск, район ул. Брюллова",61.536708,55.044309
44,"1) г. Сатка,  ул. Угольная, д. 26   2) Саткинский район, р.п. Сулея, ул. Элеваторная, 1А",58.871981,55.129617
45,"г. Челябинск, ул. Калинов двор, д. 15",61.332674,55.073948
